Price,SMA_20,SMA_50,SMA_100,SMA_200,Momentum_20,Momentum_50,Volume_Uptrend,Golden_Cross,SMA_50_above_200,SMA_20_above_50,SMA_50_above_100,SMA_20_above_200,Perfect_Setup,Abs_30d,Abs_90d,Abs_180d,Rel_30d,Rel_90d,Rel_180d,Ticker
2510.0,2586.71,2478.02,2479.4,2581.45,2.77,5.71,False,False,False,True,False,True,False,1.65%,0.78%,-4.31%,2.51%,0.74%,-11.89%,DOMS.NS
494.5,527.17,522.7,504.1,500.81,-9.02,-3.99,True,False,True,True,True,True,False,-4.11%,3.05%,-2.54%,-3.26%,3.00%,-10.13%,DABUR.NS
2232.0,2362.2,2321.55,2221.67,2012.0,-7.45,-3.8,False,False,True,True,True,True,False,-4.98%,9.15%,29.41%,-4.12%,9.11%,21.83%,DALBHARAT.NS
2640.0,2669.17,2608.39,2746.38,2368.56,3.67,-5.7,True,False,True,True,False,True,False,1.54%,-6.95%,23.21%,2.40%,-6.99%,15.63%,DATAPATTNS.NS
1548.6,1464.86,1479.83,1503.57,1326.69,7.36,-2.35,True,False,True,False,False,True,False,2.65%,7.96%,37.84%,3.51%,7.92%,30.26%,DEEPAKFERT.NS
1843.0,1797.17,1818.19,1895.46,2020.86,4.58,-4.0,False,False,False,False,False,False,False,1.78%,-7.47%,-20.94%,2.63%,-7.51%,-28.52%,DEEPAKNTR.NS
435.15,464.09,460.4,418.55,358.38,-8.96,-0.39,False,False,True,True,True,True,False,-7.80%,21.36%,34.31%,-6.94%,21.32%,26.72%,DELHIVERY.NS
170.9,178.39,171.35,171.9,171.18,-2.47,-3.46,True,False,True,True,False,True,False,-1.84%,-1.35%,-4.15%,-0.99%,-1.39%,-11.73%,DEVYANI.NS
5710.5,5978.88,6144.72,6385.76,6092.37,-7.36,-13.25,True,False,True,False,False,False,False,-5.27%,-13.55%,-4.24%,-4.41%,-13.60%,-11.82%,DIVISLAB.NS
16485.0,17870.26,17145.25,16154.37,15774.08,-6.04,1.3,True,False,True,True,True,True,False,-2.27%,9.29%,4.15%,-1.42%,9.25%,-3.43%,DIXON.NS
3152.1,3274.07,3245.06,3049.47,2882.53,-2.36,6.2,False,False,True,True,True,True,False,-8.66%,11.09%,10.74%,-7.80%,11.05%,3.16%,LALPATHLAB.NS
1248.2,1286.76,1266.18,1269.24,1238.35,-0.44,-0.88,True,False,True,True,False,True,False,0.22%,1.04%,-5.92%,1.08%,1.00%,-13.50%,DRREDDY.NS
1036.0,1071.06,1127.34,1078.06,942.95,-7.8,-11.27,False,False,True,False,True,True,False,-11.48%,5.10%,29.78%,-10.63%,5.06%,22.19%,EIDPARRY.NS
364.5,392.58,389.09,378.42,375.06,-11.64,-3.79,False,False,True,True,True,True,False,-9.40%,0.26%,-6.84%,-8.54%,0.22%,-14.42%,EIHOTEL.NS
6990.0,6882.15,6223.42,5824.77,5462.89,9.71,30.17,False,False,True,True,True,True,False,16.99%,32.93%,40.78%,17.84%,32.89%,33.20%,EICHERMOT.NS
587.2,590.04,575.79,616.09,566.19,5.81,-2.3,True,False,True,True,False,True,False,2.07%,-12.59%,-1.08%,2.92%,-12.63%,-8.66%,ELECON.NS
482.0,484.81,510.61,514.16,509.16,1.72,-12.2,False,False,True,False,False,False,False,-5.06%,0.99%,-14.39%,-4.21%,0.94%,-21.97%,ELGIEQUIP.NS
541.0,584.86,586.9,585.72,581.74,-8.44,-7.28,True,False,True,False,True,True,False,-12.64%,-6.56%,-2.33%,-11.78%,-6.60%,-9.92%,EMAMILTD.NS
1311.1,1338.39,1389.45,1336.08,1241.08,-4.4,-3.25,False,False,True,False,True,True,False,-12.85%,-3.34%,-0.34%,-12.00%,-3.38%,-7.92%,EMCURE.NS
